year_region,CF_PV,perc_PV,CF_WT,perc_WT
ITG1-1996,0.171265262,0.88,0.246415301,0.62
ITG1-1997,0.181540755,0.93,0.184448516,0.32
ITG1-1998,0.189855043,0.96,0.192485388,0.36
ITG1-1999,0.188167143,0.96,0.203497374,0.42
ITG1-2000,0.189034216,0.96,0.186961407,0.33
ITG1-2001,0.191806826,0.97,0.200142009,0.40
ITG1-2002,0.185268976,0.94,0.197098516,0.39
ITG1-2003,0.174448731,0.89,0.195741781,0.38
ITG1-2004,0.182240458,0.93,0.199095173,0.40
ITG1-2005,0.177936958,0.91,0.192167466,0.36
ITG1-2006,0.182072824,0.93,0.171163128,0.25
ITG1-2007,0.183102775,0.93,0.190265982,0.35
ITG1-2008,0.18493977,0.94,0.180647541,0.30
ITG1-2009,0.179890393,0.92,0.212763128,0.47
ITG1-2010,0.179268269,0.92,0.222628539,0.52
ITG1-2011,0.183574872,0.94,0.172648174,0.26
ITG1-2012,0.189321667,0.96,0.189446721,0.35
ITG1-2013,0.179129498,0.92,0.190900685,0.35
ITG1-2014,0.185479677,0.95,0.177331393,0.28
ITG1-2015,0.18149826,0.93,0.154995205,0.18
ITG2-1986,0.172825578,0.89,0.218936872,0.50
ITG2-1987,0.177968219,0.91,0.187569064,0.34
ITG2-1988,0.176062124,0.90,0.215822177,0.48
ITG2-1989,0.184326075,0.94,0.181568836,0.30
ITG2-1990,0.177720291,0.91,0.180826256,0.30
ITG2-1991,0.17516545,0.90,0.188957078,0.34
ITG2-1992,0.176306859,0.90,0.199730988,0.40
ITG2-1993,0.177190179,0.90,0.208817808,0.44
ITG2-1994,0.179056031,0.91,0.203805936,0.42
ITG2-1995,0.181853534,0.93,0.218258219,0.50
ITG2-1996,0.167847516,0.86,0.23722393,0.59
ITG2-1997,0.179696063,0.92,0.191277626,0.36
ITG2-1998,0.183854826,0.94,0.210470205,0.45
ITG2-1999,0.182565804,0.93,0.234500799,0.57
ITG2-2000,0.182167047,0.93,0.210986794,0.46
ITG2-2001,0.181903388,0.93,0.231046461,0.56
ITG2-2002,0.178684328,0.91,0.205116781,0.42
ITG2-2003,0.179319796,0.92,0.20463653,0.42
ITG2-2004,0.170977237,0.88,0.210218921,0.45
ITG2-2005,0.176327349,0.90,0.206512443,0.43
ITG2-2006,0.180467872,0.92,0.20618984,0.43
ITG2-2007,0.174979814,0.90,0.222083105,0.51
ITG2-2008,0.17838102,0.91,0.204547928,0.42
ITG2-2009,0.180325963,0.92,0.2072121,0.44
ITG2-2010,0.172297831,0.88,0.230129566,0.55
ITG2-2011,0.183151451,0.93,0.188330365,0.34
ITG2-2012,0.182296892,0.93,0.200252505,0.40
ITG2-2013,0.168844865,0.87,0.226457991,0.53
ITG2-2014,0.177678642,0.91,0.199850342,0.40
ITG2-2015,0.178652862,0.91,0.181857306,0.30
ITH2-1986,0.145966292,0.73,0.21415274,0.47
ITH2-1987,0.140080315,0.70,0.177663014,0.28
ITH2-1988,0.143195334,0.72,0.208964481,0.44
ITH2-1989,0.148808405,0.75,0.181863813,0.30
ITH2-1990,0.149343991,0.76,0.199727511,0.40
ITH2-1991,0.144170315,0.72,0.168918037,0.24
ITH2-1992,0.145080899,0.73,0.193534039,0.37
ITH2-1993,0.143431565,0.72,0.202551826,0.41
ITH2-1994,0.144052993,0.72,0.215034475,0.48
ITH2-1995,0.142749925,0.71,0.225297603,0.53
ITH2-1996,0.134794622,0.65,0.184266621,0.32
ITH2-1997,0.154306913,0.79,0.18804258,0.34
ITH2-1998,0.150421148,0.77,0.227945091,0.54
ITH2-1999,0.135918252,0.66,0.236089041,0.58
ITH2-2000,0.141426185,0.70,0.222154485,0.51
ITH2-2001,0.146142841,0.74,0.21609395,0.49
ITH2-2002,0.140519978,0.70,0.204413584,0.42
ITH2-2003,0.158395903,0.81,0.181237785,0.30
ITH2-2004,0.142739068,0.71,0.196773566,0.38
