,,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,c_WT_PES,1515777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524,57.71878524
,p_E_AVG,0,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532,99.10129532
,p_E_PES,0,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065,173.1499065
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE,c_PV_OPT,414862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,649881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1612776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,822797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,1064606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,1719039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922,40.20119922
,p_E_AVG,0,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228,87.6337228
,p_E_PES,0,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341,205.0955341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT,c_PV_OPT,414862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,649881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1612776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,822797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,1064606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,1719039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405,45.88912405
,p_E_AVG,0,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462,81.98324462
,p_E_PES,0,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771,150.9418771
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK,c_PV_OPT,414862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,649881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1612776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,822797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,1064606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,1719039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978,68.5807978
